!TRANSPORT
NC12H26				 2 731.3452937	10.31	0	0	1
O2C2H4OH            2       523.200     5.664     1.700     0.000     1.000 !
C2H4O2H             2       470.600     4.410     0.000     0.000     1.500 !
C2H4O1-2            2       436.000     3.970     0.000     0.000     2.000 !
C2H3O1-2            2       436.000     3.970     0.000     0.000     2.000 !
CH3CHO              2       436.000     3.970     0.000     0.000     2.000 !
CH3CO               2       436.000     3.970     0.000     0.000     2.000 !
CH2CHO              2       436.000     3.970     0.000     0.000     2.000 !
O2CH2CHO            2       275.049     5.428     0.000     0.000     1.000 !
HO2CH2CO            2       279.007     5.505     1.300     0.000     1.000 !
C2H3OH              2       470.600     4.410     0.000     0.000     1.500 !
C2H2OH              2       224.700     4.162     0.000     0.000     1.000 !
CH2CO               2       436.000     3.970     0.000     0.000     2.000 !
HCCO                2       150.000     2.500     0.000     0.000     1.000 !
HCCOH               2       436.000     3.970     0.000     0.000     2.000 !
CH3CO3H             2       436.000     3.970     0.000     0.000     2.000 !
CH3CO3              2       436.000     3.970     0.000     0.000     2.000 !
CH3CO2              2       436.000     3.970     0.000     0.000     2.000 !
CH3OCH3             2       395.000     4.037     1.300     0.000     1.000 !
CH3OCH2             2       395.000     4.037     1.300     0.000     1.000 !
CH3OCH2O2H          2       395.000     4.037     1.300     0.000     1.000 !
CH3OCH2O2           2       395.000     4.037     1.300     0.000     1.000 !
CH2OCH2O2H          2       395.000     4.037     1.300     0.000     1.000 !
O2CH2OCH2O2H        2       395.000     4.037     1.300     0.000     1.000 !
HO2CH2OCHO          2       395.000     4.037     1.300     0.000     1.000 !
OCH2OCHO            2       395.000     4.037     1.300     0.000     1.000 !
HOCH2OCO            2       395.000     4.037     1.300     0.000     1.000 !
CH3OCH2O            2       395.000     4.037     1.300     0.000     1.000 !
CH3OCHO             2       395.000     4.037     1.300     0.000     1.000 !
CH3OCO              2       395.000     4.037     1.300     0.000     1.000 !
CH2OCHO             2       395.000     4.037     1.300     0.000     1.000 !
C3H8                2       303.400     4.810     0.000     0.000     1.000 !
IC3H7               2       303.400     4.810     0.000     0.000     1.000 !
NC3H7               2       303.400     4.810     0.000     0.000     1.000 !
NC3H7O2H            2       481.500     4.997     1.700     0.000     1.000 !
NC3H7O2             2       481.500     4.997     1.700     0.000     1.000 !
IC3H7O2H            2       459.500     5.036     1.700     0.000     1.000 !
IC3H7O2             2       459.500     5.036     1.700     0.000     1.000 !
NC3H7O              2       481.500     4.997     1.700     0.000     1.000 !
IC3H7O              2       459.500     5.036     1.700     0.000     1.000 !
C3H6OOH1-2          2       435.200     4.662     2.700     0.000     1.000 !
C3H6OOH1-3          2       435.200     4.662     2.700     0.000     1.000 !
C3H6OOH2-1          2       435.200     4.662     2.700     0.000     1.000 !
C3H6OOH1-2O2        2       435.200     4.662     2.700     0.000     1.000 !
C3H6OOH1-3O2        2       435.200     4.662     2.700     0.000     1.000 !
C3H6OOH2-1O2        2       435.200     4.662     2.700     0.000     1.000 !
C3KET12             2       464.200     5.009     2.600     0.000     1.000 !
C3KET13             2       464.200     5.009     2.600     0.000     1.000 !
C3H51-2,3OOH        2       549.655     5.716     0.000     0.000     0.000 !
C3H52-1,3OOH        2       549.655     5.716     0.000     0.000     0.000 !
C3H5O1-2OOH-3       2       464.200     5.009     2.600     0.000     1.000 !C3KET12
C3H5O1-3OOH-2       2       464.200     5.009     2.600     0.000     1.000 !C3KET12
C3H6O1-2            2       403.600     4.968     2.000     0.000     1.000 !
C3H6O1-3            2       403.600     4.968     2.000     0.000     1.000 !
C3H6                2       307.800     4.140     0.000     0.000     1.000 !
C3H5-A              2       316.000     4.220     0.000     0.000     1.000 !
C3H5-S              2       316.000     4.220     0.000     0.000     1.000 !
C3H5-T              2       316.000     4.220     0.000     0.000     1.000 !
CC3H6               2       307.800     4.140     0.000     0.000     1.000 !C3H6
C3H5O               2       411.000     4.820     0.000     0.000     1.000 !
CH2CHOCH2           2       411.000     4.820     0.000     0.000     1.000 !C3H5O
CH3CHCHO            2       387.860     4.687     0.000     0.000     0.000 !
AC4H7OOH            2       330.435     5.741     0.000     0.000     1.000 !
C3H6OH1-2           2       487.900     4.820     0.000     0.000     1.000 !
CH3CHCO             2       443.200     4.120     0.000     0.000     1.000 !
AC3H5OOH            2       481.500     4.997     1.700     0.000     1.000 !
C3H6OH2-1           2       487.900     4.820     0.000     0.000     1.000 !
HOC3H6O2            2       487.900     4.820     0.000     0.000     1.000 !1109
SC3H5OH             2       304.276     5.450     0.000     0.000     1.000 !
IC3H5OH             2       459.500     5.036     1.700     0.000     1.000 !
C3H5OH              2       481.500     4.997     1.700     0.000     1.000 !
CH2CCH2OH           2       481.500     4.997     1.700     0.000     1.000 !
C3H4-P              1       324.800     4.290     0.000     0.000     1.000 !
C3H4-A              1       324.800     4.290     0.000     0.000     1.000 !
C3H3                1       324.800     4.290     0.000     0.000     1.000 !
CC3H4               1       252.000     4.760     0.000     0.000     1.000 !
C3H2                2       209.000     4.100     0.000     0.000     1.000 !
H2CCC(S)            2       265.300     3.721     0.000     0.000     1.000 !
C3H2(S)             2       209.000     4.100     0.000     0.000     1.000 !
C3H2C               1       290.616     4.368     0.000     0.000     1.000 !
PC3H4OH-2           2       300.783     5.377     0.000     0.000     1.000 !
SC3H4OH             2       298.893     5.345     0.000     0.000     1.000 !
C3H3O               2       301.263     5.055     0.000     0.000     1.000 !
C3H3O2H             2       301.658     5.310     0.000     0.000     1.000 !
C2HCHO              2       343.033     4.884     0.000     0.000     1.000 !
C2H5CHO             2       435.200     4.662     2.700     0.000     1.000 !
C2H5CO              2       424.600     4.820     0.000     0.000     1.000 !
CH2CH2CHO           2       424.600     4.820     0.000     0.000     1.000 !
C2H3CHO             2       428.800     4.958     2.900     0.000     1.000 !
C2H3CO              2       443.200     4.120     0.000     0.000     1.000 !
CH3COCH3            2       435.500     4.860     0.000     0.000     1.000 !
CH3COCH2            2       435.500     4.860     0.000     0.000     1.000 !
CH3COCH2O2          2       502.115     5.429     0.000     0.000     0.000 !
CH3COCH2O           2       447.639     5.086     0.000     0.000     0.000 !
C3KET21             2       464.200     5.009     2.600     0.000     1.000 !
HO2CH2CHO           2       275.049     5.428     0.000     0.000     1.000 !O2CH2CHO
!
C4H8-1              2       355.000     4.650     0.000     0.000     1.000 !
C4H71-3             2       357.100     4.720     0.000     0.000     1.000 !
C4H6              2       357.000     4.720     0.000     0.000     1.000 !C4H6

!
!!
END
